x,y,color,label,batch
55.291743143806976,174.79847557271,#1f77b4,a,0
44.98234072460358,156.96236661412775,#1f77b4,a,0
54.4697585141753,178.3087086725908,#1f77b4,a,0
62.90939576041674,174.85069392129702,#1f77b4,a,0
77.85877344300681,181.4898827034545,#1f77b4,a,0
77.34339594200944,161.05330619145633,#1f77b4,a,0
55.306791202596884,180.06943141786815,#1f77b4,a,0
69.60165918900532,189.77814418733232,#1f77b4,a,0
47.751057698686324,187.76017784734898,#1f77b4,a,0
60.750094431050954,206.07572900310748,#1f77b4,a,0
62.385972413257896,211.05150646660815,#1f77b4,a,0
63.238712264455664,238.84505737843062,#1f77b4,a,0
69.3136052729198,234.14075540807147,#1f77b4,a,0
69.82150001849685,237.1776243081954,#1f77b4,a,0
94.40112152768359,238.91293015046114,#1f77b4,a,0
77.84819793503246,279.9348567769383,#1f77b4,a,0
88.97828569472546,267.98993025362586,#1f77b4,a,0
100.93994000191348,290.82835102380466,#1f77b4,a,0
109.17780702976376,266.8016203517309,#1f77b4,a,0
115.478886189913,278.43712807997133,#1f77b4,a,0
124.09988859061379,298.26171245706325,#1f77b4,a,0
89.04413203609903,289.19106048289046,#1f77b4,a,0
120.86092236007697,287.389849252845,#1f77b4,a,0
95.25853359358072,296.45565258037044,#1f77b4,a,0
99.50874903663762,284.4025992980457,#1f77b4,a,0
104.93870638614516,301.56890362422985,#1f77b4,a,0
116.75730835947614,327.16251048893577,#1f77b4,a,0
134.20972688658384,330.6272087811163,#1f77b4,a,0
138.22662559300286,310.36660931765334,#1f77b4,a,0
137.9789756267495,309.8203807463491,#1f77b4,a,0
133.29836569966233,323.4557664007653,#1f77b4,a,0
119.98794949795739,325.339942880817,#1f77b4,a,0
139.50488845125975,352.962872441343,#1f77b4,a,0
125.48713634917999,351.9285793144004,#1f77b4,a,0
146.75756265817967,331.88569528973187,#1f77b4,a,0
139.19182437520243,338.07507093891024,#1f77b4,a,0
165.40022158024206,364.5104720833212,#1f77b4,a,0
145.6062017042867,358.5557613838828,#1f77b4,a,0
144.67019917278742,358.5194338970924,#1f77b4,a,0
151.2629958202051,332.59766465640655,#1f77b4,a,0
158.13598387871806,361.73471533603725,#1f77b4,a,0
145.72276141190014,374.7044607326475,#1f77b4,a,0
180.0225752366297,351.33958099321694,#1f77b4,a,0
156.30592357999373,343.465280310366,#1f77b4,a,0
158.92267423736007,359.75393419537437,#1f77b4,a,0
183.5620365743118,375.54920638195256,#1f77b4,a,0
200.04787455841918,347.18639011826025,#1f77b4,a,0
167.82789058771377,351.2800058823882,#1f77b4,a,0
203.3946840188312,348.74363797568947,#1f77b4,a,0
202.70991815499264,376.1986019969337,#1f77b4,a,0
206.2406087885544,365.3544094920354,#1f77b4,a,0
232.06409891374523,368.6028646503416,#1f77b4,a,0
229.37153349392742,388.9557421805027,#1f77b4,a,0
242.56402115418697,365.387149777716,#1f77b4,a,0
233.14030551763278,368.8292412533345,#1f77b4,a,0
262.18775994498003,370.0554977113675,#1f77b4,a,0
263.29767381280436,338.4908679555198,#1f77b4,a,0
295.7260439557306,357.9416102686822,#1f77b4,a,0
305.9164534694008,335.3896091040036,#1f77b4,a,0
330.18010831076845,323.1439837591425,#1f77b4,a,0
301.71091767410564,318.2049188582815,#1f77b4,a,0
339.3286668903718,316.2787209654733,#1f77b4,a,0
345.83273639295453,324.02479338922365,#1f77b4,a,0
328.8063604873712,329.0942002174752,#1f77b4,a,0
360.0856043860849,319.4262729051381,#1f77b4,a,0
369.6482810109754,297.30388704187453,#1f77b4,a,0
347.6345607217374,293.7322612658136,#1f77b4,a,0
387.8544368393411,288.3097566829688,#1f77b4,a,0
363.60103933733797,265.09574816794884,#1f77b4,a,0
377.2421810028107,268.0380599910449,#1f77b4,a,0
397.2667204627622,264.95349343489215,#1f77b4,a,0
381.3572007780622,228.51054345697003,#1f77b4,a,0
419.47127830507617,242.69947878560447,#1f77b4,a,0
410.52367791359666,241.43815852956095,#1f77b4,a,0
420.2380688761411,211.4969646982122,#1f77b4,a,0
421.82063767239487,196.38359310473754,#1f77b4,a,0
413.1900331447096,204.13396635183415,#1f77b4,a,1
393.1850807280469,218.42628736348422,#1f77b4,a,1
413.2301544350084,205.51250024635647,#1f77b4,a,1
411.57507865710136,216.07653289366448,#1f77b4,a,1
395.75991737339206,204.67137708981033,#1f77b4,a,1
424.70068538045524,220.70817845149804,#1f77b4,a,1
424.28631116307116,216.69130005482407,#1f77b4,a,1
411.9929646050499,188.67711798688754,#1f77b4,a,1
413.45220470597275,204.90163454766378,#1f77b4,a,1
415.2959424317465,209.8179374995371,#1f77b4,a,1
407.89059668753157,196.77253318211183,#1f77b4,a,1
432.5169053813212,182.59500887472979,#1f77b4,a,1
429.27695024513775,170.1973715664235,#1f77b4,a,1
455.5877175501203,161.912193405646,#1f77b4,a,1
431.03677325643326,152.31558654882042,#1f77b4,a,1
459.26995223597373,152.67127795858704,#1f77b4,a,1
433.50581512108744,158.80227185366533,#1f77b4,a,1
436.02373613982746,177.60142591852224,#1f77b4,a,1
460.0255941265179,147.57071244679327,#1f77b4,a,1
463.5804128283324,149.75586305088143,#1f77b4,a,1
453.0628094628801,162.0438300058728,#1f77b4,a,1
446.0107952459917,139.15335299853155,#1f77b4,a,1
455.4054257622423,141.08935044783152,#1f77b4,a,1
477.0151242203457,139.63203798009908,#1f77b4,a,1
471.1323012627612,172.7793991182258,#1f77b4,a,1
456.6857536135563,148.3052238497006,#1f77b4,a,1
458.9680329270103,136.8120103013938,#1f77b4,a,1
474.9271773192765,139.659789366905,#1f77b4,a,1
482.0150613178276,160.3431470680644,#1f77b4,a,1
479.36116724542916,155.06830907966423,#1f77b4,a,1
484.5404992058934,152.98852844276485,#1f77b4,a,1
492.81488289445593,145.04521480078967,#1f77b4,a,1
467.7043725429103,168.08132965700594,#1f77b4,a,1
476.38870938912515,136.62086296196776,#1f77b4,a,1
487.1485386067909,155.57125681682157,#1f77b4,a,1
473.8754094803112,173.15338513859393,#1f77b4,a,1
508.3626687950557,141.91358754155107,#1f77b4,a,1
487.8651184352808,173.69903369725006,#1f77b4,a,1
513.8349696757189,164.73869030606937,#1f77b4,a,1
518.6540621401984,164.5280944089302,#1f77b4,a,1
520.1874866092646,160.24723352614075,#1f77b4,a,1
520.0976575684925,169.91941751296127,#1f77b4,a,1
520.5937221859232,168.5631288643375,#1f77b4,a,1
498.98058894056845,161.99033957740113,#1f77b4,a,1
488.5591976712272,168.68542756750452,#1f77b4,a,1
491.6783830841854,166.98410778890957,#1f77b4,a,1
529.4144217927455,176.30610815680893,#1f77b4,a,1
501.14489773296975,172.86448388900868,#1f77b4,a,1
525.4951575173659,151.33179618764927,#1f77b4,a,1
534.6154268278868,186.26599006409305,#1f77b4,a,1
518.9466550537089,176.28382769630173,#1f77b4,a,1
516.8229892382593,208.16368559077256,#1f77b4,a,1
540.4021430798415,191.59279079435748,#1f77b4,a,1
535.1664324232786,209.86595669931086,#1f77b4,a,1
529.739145347283,225.86906375762374,#1f77b4,a,1
530.9227187159593,212.5093971472864,#1f77b4,a,1
555.1648690750371,229.35138063921653,#1f77b4,a,1
531.1549133244728,240.22297085052298,#1f77b4,a,1
548.6004732003303,254.0049960379827,#1f77b4,a,1
557.005246667016,271.2896395773401,#1f77b4,a,1
547.2231738178838,251.19688830211607,#1f77b4,a,1
554.2080011971843,285.6295245591259,#1f77b4,a,1
555.5042023764576,282.72830895265906,#1f77b4,a,1
580.5470770555672,260.96194504998425,#1f77b4,a,1
572.2501518331129,287.2220017206371,#1f77b4,a,1
584.1692704196216,282.8278893350172,#1f77b4,a,1
571.7682847725407,301.62694086193176,#1f77b4,a,1
592.7153168832367,298.57977249215435,#1f77b4,a,1
591.4461640091661,281.7389323532162,#1f77b4,a,1
